id,parent,Name,longName,description,image1,image2,image3,price,unit,soil,growthRate,gorwingSeason,floweringSeason,bloomTime,comments
perennials,,Perennials,,,,,,,,,,,,,
agastache,perennials,Agastache,,,,,,,,,,,,,
blueboa,agastache,Blue Boa,agastache Blue Boa,"""Luxurious deep violet-blue flower spikes held over ultra green foliage. Unlike any other Agastache. The flower spikes are long, wide and extremely showy. It's a great perennial color spot for summer bloom. It's drought tolerant once established and attracts hummingbirds as well as butterflies. """,blueboalarge1.jpg,blueboalarge2.jpg,,,,,Fast,Summer,Summer,Summer,"""Long days benefit overall plant vigor and flowering. Pinching at transplant is beneficial."""
kudosambrosia,agastache,Kudos Ambrosia,agastache Kudos Ambrosia,,,,,,,,,,,,
,agastache,Kudos Coral,agastache Kudos Coral,,,,,,,,,,,,
,agastache,Kudos Gold,agastache Kudos Gold,,,,,,,,,,,,
,agastache,Kudos Mandarin,agastache Kudos Mandarin,,,,,,,,,,,,
,agastache,Kudos Silver Blue,agastache Kudos Silver Blue,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,astilbe,,astilbe ,,,,,,,,,,,,
,astilbe,,astilbe ,,,,,,,,,,,,
,astilbe,,astilbe ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
